tax_code,description
8505 90 29,"– – – Other 1,8 —"
8505 90 50,"– – Electromagnetic lifting heads 2,2 —"
8505 90 90,"– – Parts 1,8 —"
8506,Primary cells and primary batteries:  
8506 10,–Manganese dioxide:  
8506 10 11,"– – – Cylindrical cells 4,7 p/st"
8506 10 18,"– – – Other 4,7 p/st"
8506 10 91,"– – – Cylindrical cells 4,7 p/st"
8506 10 98,"– – – Other 4,7 p/st"
8506 30 00,"–Mercuric oxide 4,7 p/st"
8506 40 00,"–Silver oxide 4,7 p/st"
8506 50,–Lithium:  
8506 50 10,"– – Cylindrical cells 4,7 p/st"
8506 50 30,"– – Button cells 4,7 p/st"
8506 50 90,"– – Other 4,7 p/st"
8506 60 00,"–Air-zinc 4,7 p/st"
8506 80,–Other primary cells and primary batteries:  
8506 80 05,"– – Dry zinc-carbon batteries of a voltage of 5,5 V or more but not exceeding 6,5 V Free p/st"
8506 80 80,"– – Other 4,7 p/st"
8506 90 00,"–Parts 4,7 —"
8507,"Electric accumulators, including separators therefor, whether or not rectangular (including square):  "
8507 10,"–Lead-acid, of a kind used for starting piston engines:  "
8507 10 20,"– – Working with liquid electrolyte 3,7 p/st"
8507 10 80,"– – Other 3,7 p/st"
8507 20,–Other lead-acid accumulators:  
8507 20 20,"– – Working with liquid electrolyte 3,7 ce/el"
8507 20 80,"– – Other 3,7 ce/el"
8507 30,–Nickel-cadmium:  
8507 30 20,"– – Hermetically sealed 2,6 p/st"
8507 30 80,"– – Other 2,6 ce/el"
8507 50 00,"–Nickel-metal hydride 2,7 p/st"
8507 60 00,"–Lithium-ion 2,7 p/st"
8507 80 00,"–Other accumulators 2,7 p/st"
8507 90,–Parts:  
8507 90 30,"– – Separators 2,7 —"
8507 90 80,"– – Other 2,7 —"
8508,Vacuum cleaners:  
8508 11 00,"– –Of a power not exceeding 1 500  W and having a dust bag or other receptacle capacity not exceeding 20 l 2,2 p/st"
8508 19 00,"– –Other 1,7 p/st"
8508 60 00,"–Other vacuum cleaners 1,7 p/st"
8508 70 00,"–Parts 1,7 —"
8509,"Electromechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 8508 :  "
8509 40 00,"–Food grinders and mixers; fruit or vegetable juice extractors 2,2 p/st"
8509 80 00,"–Other appliances 2,2 —"
8509 90 00,"–Parts 2,2 —"
8510,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor:  "
8510 10 00,"–Shavers 2,2 p/st"
8510 20 00,"–Hair clippers 2,2 p/st"
8510 30 00,"–Hair-removing appliances 2,2 p/st"
8510 90 00,"–Parts 2,2 —"
8511,"Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, sparking plugs and glow plugs, starter motors); generators (for example, dynamos, alternators) and cut-outs of a kind used in conjunction with such engines:  "
8511 10 00,"–Sparking plugs 3,2 —"
8511 20 00,"–Ignition magnetos; magneto-dynamos; magnetic flywheels 3,2 —"
8511 30 00,"–Distributors; ignition coils 3,2 —"
8511 40 00,"–Starter motors and dual purpose starter-generators 3,2 —"
8511 50 00,"–Other generators 3,2 —"
8511 80 00,"–Other equipment 3,2 —"
8511 90 00,"–Parts 3,2 —"
8512,"Electrical lighting or signalling equipment (excluding articles of heading 8539 ), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles:  "
8512 10 00,"–Lighting or visual signalling equipment of a kind used on bicycles 2,7 —"
8512 20 00,"–Other lighting or visual signalling equipment 2,7 —"
8512 30,–Sound signalling equipment:  
8512 30 10,"– – Burglar alarms of a kind used for motor vehicles 2,2 p/st"
8512 30 90,"– – Other 2,7 —"
8512 40 00,"–Windscreen wipers, defrosters and demisters 2,7 —"
8512 90,–Parts:  
8512 90 10,"– – Of apparatus of subheading 8512 30 10 2,2 —"
8512 90 90,"– – Other 2,7 —"
8513,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 8512 :  "
8513 10 00,"–Lamps 5,7 —"
8513 90 00,"–Parts 5,7 —"
8514,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss:  
8514 11 00,"– –Hot isostatic presses 2,2 p/st"
8514 19,– –Other:  
8514 19 10,"– – – Bakery and biscuit ovens 2,2 p/st"
8514 19 80,"– – – Other 2,2 p/st"
8514 20,–Furnaces and ovens functioning by induction or dielectric loss:  
8514 20 10,"– – Induction furnaces and ovens 2,2 p/st"
8514 20 80,"– – Dielectric furnaces and ovens 2,2 p/st"
8514 31,– –Electron beam furnaces:  
8514 31 10,– – – Of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies Free p/st
8514 31 90,"– – – Other 2,2 p/st"
8514 32,– –Plasma and vacuum arc furnaces:  
8514 32 10,– – – Of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies Free p/st
8514 32 90,"– – – Other 2,2 p/st"
8514 39,– –Other:  
8514 39 10,– – – Of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies Free p/st
8514 39 90,"– – – Other 2,2 p/st"
8514 40 00,"–Other equipment for the heat treatment of materials by induction or dielectric loss 2,2 p/st"
8514 90,–Parts:  
8514 90 30,"– – Of other furnaces and ovens of subheadings 8514 31 10 , 8514 32 10  or 8514 39 10 Free —"
8514 90 70,"– – Other 2,2 —"
8515,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric machines and apparatus for hot spraying of metals or cermets:  "
8515 11 00,"– –Soldering irons and guns 2,7 —"
8515 19,– –Other:  
8515 19 10,– – – Wave soldering machines of a kind used solely or principally for the manufacture of printed circuit assemblies Free —
8515 19 90,"– – – Other 2,7 —"
8515 21 00,"– –Fully or partly automatic 2,7 —"
8515 29 00,"– –Other 2,7 —"
8515 31 00,"– –Fully or partly automatic 2,7 —"
8515 39,– –Other:  
8515 39 13,"– – – – Transformers 2,7 —"
8515 39 18,"– – – – Generators or rotary converters or static converters, rectifiers or rectifying apparatus 2,7 —"
8515 39 90,"– – – Other 2,7 —"
8515 80,–Other machines and apparatus:  
8515 80 10,"– – For treating metals 2,7 p/st"
8515 80 90,"– – Other 2,7 p/st"
8515 90,–Parts:  
8515 90 20,– – Of wave soldering machines of subheading 8515 19 10 Free —
8515 90 80,"– – Other 2,7 —"
8516,"Electric instantaneous or storage water heaters and immersion heaters; electric space-heating apparatus and soil-heating apparatus; electrothermic hairdressing apparatus (for example, hairdryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electrothermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 8545 :  "
8516 10,–Electric instantaneous or storage water heaters and immersion heaters:  
8516 10 11,"– – Instantaneous water heaters 2,7 p/st"
8516 10 80,"– – Other 2,7 p/st"
8516 21 00,"– –Storage heating radiators 2,7 p/st"
8516 29,– –Other:  
8516 29 10,"– – – Liquid-filled radiators 2,7 p/st"
8516 29 50,"– – – Convection heaters 2,7 p/st"
8516 29 91,"– – – – With built-in fan 2,7 p/st"
8516 29 99,"– – – – Other 2,7 p/st"
8516 31 00,"– –Hairdryers 2,7 p/st"
8516 32 00,"– –Other hairdressing apparatus 2,7 —"
8516 33 00,"– –Hand-drying apparatus 2,7 p/st"
8516 40 00,"–Electric smoothing irons 2,7 p/st"
8516 50 00,–Microwave ovens 5 p/st
8516 60,"–Other ovens; cookers, cooking plates, boiling rings; grillers and roasters:  "
8516 60 10,"– – Cookers (incorporating at least an oven and a hob) 2,7 p/st"
8516 60 50,"– – Cooking plates, boiling rings and hobs 2,7 p/st"
8516 60 70,"– – Grillers and roasters 2,7 p/st"
8516 60 80,"– – Ovens for building in 2,7 p/st"
8516 60 90,"– – Other 2,7 p/st"
8516 71 00,"– –Coffee or tea makers 2,7 p/st"
8516 72 00,"– –Toasters 2,7 p/st"
8516 79,– –Other:  
8516 79 20,"– – – Deep fat fryers 2,7 p/st"
8516 79 70,"– – – Other 2,7 p/st"
8516 80,–Electric heating resistors:  
8516 80 20,"– – Assembled with an insulated former 2,7 —"
8516 80 80,"– – Other 2,7 —"
8516 90 00,"–Parts 2,7 —"
8517,"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 8443 , 8525 , 8527  or 8528 :  "
8517 11 00,– –Line telephone sets with cordless handsets Free p/st
8517 13 00,– –Smartphones Free p/st
8517 14 00,– –Other telephones for cellular networks or for other wireless networks Free p/st
8517 18 00,– –Other Free —
8517 61 00,– –Base stations Free p/st
8517 62 00,"– –Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus Free —"
8517 69,– –Other:  
8517 69 10,– – – Videophones Free p/st
8517 69 20,– – – Entry-phone systems Free —
8517 69 30,– – – Reception apparatus for radio-telephony or radio-telegraphy Free p/st
8517 69 90,– – – Other Free —
8517 71 00,– –Aerials and aerial reflectors of all kinds; parts suitable for use therewith Free —
8517 79 00,– –Other Free —
8518,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets:  "
8518 10 00,–Microphones and stands therefor Free —
8518 21 00,"– –Single loudspeakers, mounted in their enclosures Free p/st"
8518 22 00,"– –Multiple loudspeakers, mounted in the same enclosure Free p/st"
8518 29 00,– –Other Free p/st
8518 30 00,"–Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers Free —"
8518 40 00,–Audio-frequency electric amplifiers Free p/st
8518 50 00,–Electric sound amplifier sets Free p/st
8518 90 00,–Parts Free —
8519,Sound recording or sound reproducing apparatus:  
8519 20,"–Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment:  "
8519 20 10,– – Coin- or disc-operated record-players 6 p/st
8519 20 91,"– – – With laser reading system 9,5 p/st"
8519 20 99,"– – – Other 4,5 p/st"
8519 30 00,–Turntables (record-decks) 2 p/st
8519 81 00,"– –Using magnetic, optical or semiconductor media Free p/st"
8519 89 00,– –Other Free p/st
8521,"Video recording or reproducing apparatus, whether or not incorporating a video tuner:  "
8521 10 00,–Magnetic tape-type Free p/st
8521 90 00,–Other Free p/st
8522,Parts and accessories suitable for use solely or principally with the apparatus of heading 8519  or 8521 :  
8522 10 00,–Pick-up cartridges 4 —
8522 90 00,–Other Free —
8523,"Discs, tapes, solid-state non-volatile storage devices, ‘smart cards’ and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37:  "
8523 21 00,– –Cards incorporating a magnetic stripe Free p/st
8523 29,– –Other:  
8523 29 15,– – – – Unrecorded Free p/st
8523 29 19,– – – – Other Free p/st
8523 29 90,– – – Other Free —
8523 41,– –Unrecorded:  
8523 41 10,"– – – Discs for laser reading systems of a recording capacity not exceeding 900 megabytes, other than erasable Free p/st"
8523 41 30,"– – – Discs for laser reading systems of a recording capacity exceeding 900 megabytes but not exceeding 18 gigabytes, other than erasable Free p/st"
8523 41 90,– – – Other Free —
8523 49,– –Other:  
8523 49 10,– – – – Digital versatile discs (DVD) Free p/st
8523 49 20,– – – – Other Free p/st
8523 49 90,– – – Other Free p/st
8523 51,– –Solid-state non-volatile storage devices:  
8523 51 10,– – – Unrecorded Free p/st
8523 51 90,– – – Other Free p/st
8523 52 00,– –‘Smart cards’ Free p/st
8523 59,– –Other:  
8523 59 10,– – – Unrecorded Free p/st
8523 59 90,– – – Other Free p/st
8523 80,–Other:  
8523 80 10,– – Unrecorded Free —
8523 80 90,– – Other Free —
8524,"Flat panel display modules, whether or not incorporating touch-sensitive screens:  "
8524 11 00,– –Of liquid crystals Free p/st
8524 12 00,– –Of organic light-emitting diodes (OLED) Free p/st
8524 19 00,– –Other Free p/st
8524 91 00,– –Of liquid crystals Free p/st
8524 92 00,– –Of organic light-emitting diodes (OLED) Free p/st
8524 99 00,– –Other Free p/st
8525,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders:  "
8525 50 00,–Transmission apparatus Free p/st
8525 60 00,–Transmission apparatus incorporating reception apparatus Free p/st
8525 81 00,– –High-speed goods as specified in subheading note 1 to this chapter Free p/st
8525 82 00,"– –Other, radiation-hardened or radiation-tolerant goods as specified in subheading note 2 to this chapter Free p/st"
8525 83 00,"– –Other, night vision goods as specified in subheading note 3 to this chapter Free p/st"
8525 89 00,– –Other Free p/st
8526,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus:  "
8526 10 00,–Radar apparatus Free —
8526 91,– –Radio navigational aid apparatus:  
8526 91 20,– – – Radio navigational receivers Free p/st
8526 91 80,– – – Other Free —
8526 92 00,– –Radio remote control apparatus Free —
8527,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock:  "
8527 12 00,– –Pocket-size radio cassette players Free p/st
8527 13 00,– –Other apparatus combined with sound recording or reproducing apparatus Free p/st
8527 19 00,– –Other Free p/st
8527 21,– –Combined with sound recording or reproducing apparatus:  
8527 21 30,– – – Capable of receiving and decoding digital radio data system signals Free p/st
8527 21 70,– – – – With laser reading system 14 p/st
8527 21 92,– – – – – Of the cassette-type with an analogue and digital reading system 14 p/st
8527 21 98,– – – – – Other 10 p/st
8527 29 00,– –Other Free p/st
8527 91 00,– –Combined with sound recording or reproducing apparatus Free p/st
8527 92 00,– –Not combined with sound recording or reproducing apparatus but combined with a clock Free p/st
8527 99 00,– –Other Free p/st
8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus:  "
8528 42 00,– –Capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471 Free p/st
8528 49 00,– –Other Free p/st
8528 52,– –Capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471 :  
8528 52 10,– – – Of a kind solely or principally used in an automatic data-processing system of heading 8471 Free p/st
8528 52 91,– – – – With a screen of the liquid crystal display (LCD) technology 14(42) p/st
8528 52 99,– – – – Other 14(42) p/st
8528 59 00,– –Other 14 p/st
8528 62 00,– –Capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471 Free p/st
8528 69,– –Other:  
8528 69 20,– – – Monochrome 2 p/st
8528 69 80,– – – Other 14 p/st
8528 71 00,– –Not designed to incorporate a video display or screen Free p/st
8528 72,"– –Other, colour:  "
8528 72 10,– – – Television projection equipment 14 p/st
8528 72 20,– – – Apparatus incorporating a video recorder or reproducer 14 p/st
8528 72 30,– – – – With integral tube 14 p/st
8528 72 40,– – – – With a screen of the liquid crystal display (LCD) technology 14 p/st
8528 72 60,– – – – With a screen of the plasma display panel (PDP) technology 14 p/st
8528 72 80,– – – – Other 14 p/st
8528 73 00,"– –Other, monochrome 2 p/st"
8529,Parts suitable for use solely or principally with the apparatus of headings 8524  to 8528 :  
8529 10,–Aerials and aerial reflectors of all kinds; parts suitable for use therewith:  
8529 10 11,– – – Telescopic and whip-type aerials for portable apparatus or for apparatus for fitting in motor vehicles Free —
8529 10 30,– – – Outside aerials for radio or television broadcast receivers Free —
8529 10 65,"– – – Inside aerials for radio or television broadcast receivers, including built-in types Free —"
8529 10 69,– – – Other Free —
8529 10 80,– – Aerial filters and separators Free —
8529 10 95,– – Other Free —
8529 90,–Other:  
8529 90 15,– – Organic light-emitting diode modules and organic light-emitting diode panels for the apparatus of subheadings 8528 72  or 8528 73 3 —
8529 90 30,– – – Electronic assemblies Free —
8529 90 93,– – – – For apparatus of headings 8527  and 8528 Free —
8529 90 96,– – – – Other Free —
8530,"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields (other than those of heading 8608 ):  "
8530 10 00,"–Equipment for railways or tramways 1,7 —"
8530 80 00,"–Other equipment 1,7 —"
8530 90 00,"–Parts 1,7 —"
8531,"Electric sound or visual signalling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 8512  or 8530 :  "
8531 10,–Burglar or fire alarms and similar apparatus:  
8531 10 30,"– – Of a kind used for buildings 2,2 p/st"
8531 10 95,"– – Other 2,2 p/st"
8531 20,–Indicator panels incorporating liquid crystal devices (LCD) or light-emitting diodes (LED):  
8531 20 20,– – Incorporating light-emitting diodes (LED) Free —
8531 20 40,– – – Incorporating active matrix liquid crystal devices (LCD) Free —
8531 20 95,– – – Other Free —
8531 80,–Other apparatus:  
8531 80 40,"– – Bells, buzzers, door chimes and similar 2,2 —"
8531 80 70,– – Other Free —
8531 90 00,–Parts Free —
8532,"Electrical capacitors, fixed, variable or adjustable (pre-set):  "
8532 10 00,"–Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0,5 kvar (power capacitors) Free —"
8532 21 00,– –Tantalum Free —
8532 22 00,– –Aluminium electrolytic Free —
8532 23 00,"– –Ceramic dielectric, single layer Free —"
8532 24 00,"– –Ceramic dielectric, multilayer Free —"
8532 25 00,– –Dielectric of paper or plastics Free —
8532 29 00,– –Other Free —
8532 30 00,–Variable or adjustable (pre-set) capacitors Free —
8532 90 00,–Parts Free —
8533,"Electrical resistors (including rheostats and potentiometers), other than heating resistors:  "
8533 10 00,"–Fixed carbon resistors, composition or film types Free —"
8533 21 00,– –For a power handling capacity not exceeding 20 W Free —
8533 29 00,– –Other Free —
8533 31 00,– –For a power handling capacity not exceeding 20 W Free —
8533 39 00,– –Other Free —
8533 40,"–Other variable resistors, including rheostats and potentiometers:  "
8533 40 10,– – For a power handling capacity not exceeding 20 W Free —
8533 40 90,– – Other Free —
8533 90 00,–Parts Free —
8534 00,Printed circuits:  
8534 00 11,– – Multilayer circuits Free —
8534 00 19,– – Other Free —
8534 00 90,– With other passive elements Free —
8535,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, fuses, lightning arresters, voltage limiters, surge suppressors, plugs and other connectors, junction boxes), for a voltage exceeding 1 000  V:  "
8535 10 00,"–Fuses 2,7 —"
8535 21 00,"– –For a voltage of less than 72,5 kV 2,7 —"
8535 29 00,"– –Other 2,7 —"
8535 30,–Isolating switches and make-and-break switches:  
8535 30 10,"– – For a voltage of less than 72,5 kV 2,7 —"
8535 30 90,"– – Other 2,7 —"
8535 40 00,"–Lightning arresters, voltage limiters and surge suppressors 2,7 —"
8535 90 00,"–Other 2,7 —"
8536,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp holders and other connectors, junction boxes), for a voltage not exceeding 1 000  V; connectors for optical fibres, optical fibre bundles or cables:  "
8536 10,–Fuses:  
8536 10 10,"– – For a current not exceeding 10 A 2,3 —"
8536 10 50,"– – For a current exceeding 10 A but not exceeding 63 A 2,3 —"
8536 10 90,"– – For a current exceeding 63 A 2,3 —"
8536 20,–Automatic circuit breakers:  
8536 20 10,"– – For a current not exceeding 63 A 2,3 —"
8536 20 90,"– – For a current exceeding 63 A 2,3 —"
8536 30,–Other apparatus for protecting electrical circuits:  
8536 30 10,– – For a current not exceeding 16 A Free —
8536 30 30,– – For a current exceeding 16 A but not exceeding 125 A Free —
8536 30 90,– – For a current exceeding 125 A Free —
8536 41,– –For a voltage not exceeding 60 V:  
8536 41 10,"– – – For a current not exceeding 2 A 2,3 —"
8536 41 90,"– – – For a current exceeding 2 A 2,3 —"
8536 49 00,"– –Other 2,3 —"
8536 50,–Other switches:  
8536 50 03,– – Electronic AC switches consisting of optically coupled input and output circuits (insulated thyristor AC switches) Free —
8536 50 05,"– – Electronic switches, including temperature protected electronic switches, consisting of a transistor and a logic chip (chip-on-chip technology) Free —"
8536 50 07,– – Electromechanical snap-action switches for a current not exceeding 11 A Free —
8536 50 11,– – – – Push-button switches Free —
8536 50 15,– – – – Rotary switches Free —
8536 50 19,– – – – Other Free —
8536 50 80,– – – Other Free —
8536 61,– –Lamp holders:  
8536 61 10,"– – – Edison lamp holders 2,3 —"
8536 61 90,"– – – Other 2,3 —"
8536 69,– –Other:  
8536 69 10,– – – For coaxial cables Free —
8536 69 30,– – – For printed circuits Free —
8536 69 90,"– – – Other 2,3 —"
8536 70 00,"–Connectors for optical fibres, optical fibre bundles or cables 3 —"
8536 90,–Other apparatus:  
8536 90 01,– – Prefabricated elements for electrical circuits Free —
8536 90 10,– – Connections and contact elements for wire and cables Free —
8536 90 40,"– – Battery clamps of a kind used for motor vehicles of heading 8702 , 8703 , 8704 , or 8711 2,3 —"
8536 90 95,– – Other Free —
8537,"Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus of heading 8535  or 8536 , for electric control or the distribution of electricity, including those incorporating instruments or apparatus of Chapter 90, and numerical control apparatus, other than switching apparatus of heading 8517 :  "
8537 10,–For a voltage not exceeding 1 000  V:  
8537 10 10,"– – Numerical control panels with built-in automatic data-processing machine 2,1 —"
8537 10 91,"– – – Programmable memory controllers 2,1 —"
8537 10 95,"– – – Touch-Sensitive Data Input Devices (so-called touch screens) without display capabilities, for incorporation into apparatus having a display, which function by detecting the presence and location of a touch within the display area Free —"
8537 10 98,"– – – Other 2,1 —"
8537 20,–For a voltage exceeding 1 000  V:  
8537 20 91,"– – For a voltage exceeding 1 000  V but not exceeding 72,5 kV 2,1 —"
8537 20 99,"– – For a voltage exceeding 72,5 kV 2,1 —"
8538,"Parts suitable for use solely or principally with the apparatus of heading 8535 , 8536  or 8537 :  "
8538 10 00,"–Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537 , not equipped with their apparatus Free —"
8538 90,–Other:  
8538 90 11,"– – – Electronic assemblies 3,2(42) —"
8538 90 19,"– – – Other 1,7(42) —"
8538 90 91,"– – – Electronic assemblies 3,2 —"
8538 90 99,"– – – Other 1,7 —"
8539,"Electric filament or discharge lamps, including sealed beam lamp units and ultraviolet or infra-red lamps; arc-lamps; light-emitting diode (LED) light sources:  "
8539 10 00,"–Sealed beam lamp units 2,7 p/st"
8539 21,– –Tungsten halogen:  
8539 21 30,"– – – Of a kind used for motorcycles or other motor vehicles 2,7 p/st"
8539 21 92,"– – – – Exceeding 100 V 2,7 p/st"
8539 21 98,"– – – – Not exceeding 100 V 2,7 p/st"
8539 22,"– –Other, of a power not exceeding 200 W and for a voltage exceeding 100 V:  "
8539 22 10,"– – – Reflector lamps 2,7 p/st"
8539 22 90,"– – – Other 2,7 p/st"
8539 29,– –Other:  
8539 29 30,"– – – Of a kind used for motorcycles or other motor vehicles 2,7 p/st"
8539 29 92,"– – – – Exceeding 100 V 2,7 p/st"
8539 29 98,"– – – – Not exceeding 100 V 2,7 p/st"
8539 31,"– –Fluorescent, hot cathode:  "
8539 31 10,"– – – With double ended cap 2,7 p/st"
8539 31 90,"– – – Other 2,7 p/st"
8539 32,– –Mercury or sodium vapour lamps; metal halide lamps:  
8539 32 20,"– – – Mercury or sodium vapour lamps 2,7 p/st"
8539 32 90,"– – – Metal halide lamps 2,7 p/st"
8539 39,– –Other:  
8539 39 20,– – – Cold-cathode fluorescent lamps (CCFLs) for backlighting of flat panel displays Free p/st
8539 39 80,"– – – Other 2,7 p/st"
8539 41 00,"– –Arc lamps 2,7 p/st"
8539 49 00,"– –Other 2,7 p/st"
8539 51 00,"– –Light-emitting diode (LED) modules 2,7 p/st"
8539 52 00,"– –Light-emitting diode (LED) lamps 3,7 p/st"
8539 90,–Parts:  
8539 90 10,"– – Lamp bases 2,7 —"
8539 90 90,"– – Other 2,7 —"
8540,"Thermionic, cold cathode or photocathode valves and tubes (for example, vacuum or vapour or gas filled valves and tubes, mercury arc rectifying valves and tubes, cathode ray tubes, television camera tubes):  "
8540 11 00,– –Colour 14 p/st
8540 12 00,"– –Monochrome 7,5 p/st"
8540 20,–Television camera tubes; image converters and intensifiers; other photocathode tubes:  
8540 20 10,"– – Television camera tubes 2,7 p/st"
8540 20 80,"– – Other 2,7 p/st"
8540 40 00,"–Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0,4 mm 2,6 p/st"
8540 60 00,"–Other cathode ray tubes 2,6 p/st"
8540 71 00,"– –Magnetrons 2,7 p/st"
8540 79 00,"– –Other 2,7 p/st"
8540 81 00,"– –Receiver or amplifier valves and tubes 2,7 p/st"
8540 89 00,"– –Other 2,7 p/st"
8540 91 00,"– –Of cathode ray tubes 2,7 —"
8540 99 00,"– –Other 2,7 —"
8541,"Semiconductor devices (for example, diodes, transistors, semiconductor-based transducers); photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED), whether or not assembled with other light-emitting diodes (LED); mounted piezo-electric crystals:  "
8541 10 00,"–Diodes, other than photosensitive or light-emitting diodes (LED) Free —"
8541 21 00,– –With a dissipation rate of less than 1 W Free —
8541 29 00,– –Other Free —
8541 30 00,"–Thyristors, diacs and triacs, other than photosensitive devices Free —"
8541 41 00,– –Light-emitting diodes (LED) Free —
8541 42 00,– –Photovoltaic cells not assembled in modules or made up into panels Free —
8541 43 00,– –Photovoltaic cells assembled in modules or made up into panels Free —
8541 49 00,– –Other Free —
8541 51 00,– –Semiconductor-based transducers Free —
8541 59 00,– –Other Free —
8541 60 00,–Mounted piezo-electric crystals Free —
8541 90 00,–Parts Free —
8542,Electronic integrated circuits:  
8542 31,"– –Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits:  "
8542 31 11,– – – – Multi-component integrated circuits (MCOs) Free —
8542 31 19,– – – – Other Free —
8542 31 90,– – – Other Free —
8542 32,– –Memories:  
8542 32 11,– – – – Multi-component integrated circuits (MCOs) Free —
8542 32 19,– – – – Other Free —
8542 32 31,– – – – – With a storage capacity not exceeding 512 Mbits Free p/st
8542 32 39,– – – – – With a storage capacity exceeding 512 Mbits Free p/st
8542 32 45,"– – – – Static random-access memories (S-RAMs), including cache random-access memories (cache-RAMs) Free p/st"
8542 32 55,"– – – – UV erasable, programmable, read only memories (EPROMs) Free p/st"
8542 32 61,– – – – – – With a storage capacity not exceeding 512 Mbits Free p/st
8542 32 69,– – – – – – With a storage capacity exceeding 512 Mbits Free p/st
8542 32 75,– – – – – Other Free p/st
8542 32 90,– – – – Other memories Free —
8542 33,– –Amplifiers:  
8542 33 10,– – – Multi-component integrated circuits (MCOs) Free —
8542 33 90,– – – Other Free —
8542 39,– –Other:  
8542 39 11,– – – – Multi-component integrated circuits (MCOs) Free —
8542 39 19,– – – – Other Free —
8542 39 90,– – – Other Free —
8542 90 00,–Parts Free —
8543,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter:  "
8543 10 00,–Particle accelerators 4 —
8543 20 00,–Signal generators Free —
8543 30,"–Machines and apparatus for electroplating, electrolysis or electrophoresis:  "
8543 30 40,– – Electroplating and electrolysis machines of a kind used solely or principally for the manufacture of printed circuits Free —
8543 30 70,"– – Other 3,7 —"
8543 40 00,"–Electronic cigarettes and similar personal electric vaporizing devices 3,7 —"
8543 70,–Other machines and apparatus:  
8543 70 01,– – Articles specifically designed for connection to telegraphic or telephonic apparatus or instruments or to telegraphic or telephonic networks Free —
8543 70 02,– – Microwave amplifiers Free —
8543 70 03,– – Cordless infrared remote control devices for video game consoles Free —
8543 70 04,– – Digital flight-data recorders Free —
8543 70 05,"– – Portable battery operated electronic readers for recording and reproducing text, still image or audio file Free —"
8543 70 06,– – Digital signal processing apparatus capable of connecting to a wired or wireless network for the mixing of sound Free —
8543 70 07,– – Portable interactive electronic education devices primarily designed for children Free —
8543 70 08,– – Plasma cleaner machines that remove organic contaminants from electron microscopy specimens and specimen holders Free —
